;CN(alto);SR(medio);AT(bajo);;;;;;;;;;;;
tiempo;emision [tCO2/MWh];emision [tCO2/MWh];emision [tCO2/MWh];;;;;;;;;;;;
108;0.0133;0.0112;0.011;;;;;;;;;;;;
109;0.0133;0.0112;0.011;;;;;;;;;;;;
110;0.0133;0.0112;0.011;;;;;;;;;;;;
111;0.0133;0.0112;0.011;;;;;;;;;;;;
112;0.0133;0.0112;0.011;;;;;;;;;;;;
113;0.0133;0.0112;0.011;;;;;;;;;;;;
114;0.0133;0.0112;0.011;;;;;;;;;;;;
115;0.0133;0.0112;0.011;;;;;;;;;;;;
116;0.0133;0.0112;0.011;;;;;;;;;;;;
117;0.0133;0.0112;0.011;;;;;;;;;;;;
118;0.0133;0.0112;0.011;;;;;;;;;;;;
119;0.0133;0.0112;0.011;;;;;;;;;;;;
120;0.0133;0.0112;0.011;;;;;;;;;;;;
121;0.0133;0.0114;0.0111;;;;;;;;;;;;
122;0.0134;0.0115;0.0111;;;;;;;;;;;;
123;0.0134;0.0116;0.0112;;;;;;;;;;;;
124;0.0134;0.0118;0.0113;;;;;;;;;;;;
125;0.0134;0.0119;0.0114;;;;;;;;;;;;
126;0.0134;0.012;0.0114;;;;;;;;;;;;
127;0.0134;0.0122;0.0115;;;;;;;;;;;;
128;0.0134;0.0123;0.0116;;;;;;;;;;;;
129;0.0135;0.0125;0.0117;;;;;;;;;;;;
130;0.0135;0.0126;0.0117;;;;;;;;;;;;
131;0.0135;0.0128;0.0118;;;;;;;;;;;;
132;0.0135;0.0129;0.0119;;;;;;;;;;;;
133;0.0131;0.0129;0.0114;;;;;;;;;;;;
134;0.0128;0.0128;0.011;;;;;;;;;;;;
135;0.0124;0.0128;0.0106;;;;;;;;;;;;
136;0.012;0.0127;0.0102;;;;;;;;;;;;
137;0.0117;0.0127;0.0099;;;;;;;;;;;;
138;0.0114;0.0126;0.0095;;;;;;;;;;;;
139;0.0111;0.0126;0.0092;;;;;;;;;;;;
140;0.0107;0.0125;0.0088;;;;;;;;;;;;
141;0.0104;0.0125;0.0085;;;;;;;;;;;;
142;0.0101;0.0124;0.0082;;;;;;;;;;;;
143;0.0099;0.0124;0.0079;;;;;;;;;;;;
144;0.0096;0.0123;0.0076;;;;;;;;;;;;
145;0.0096;0.0123;0.0076;;;;;;;;;;;;
146;0.0095;0.0123;0.0075;;;;;;;;;;;;
147;0.0095;0.0122;0.0075;;;;;;;;;;;;
148;0.0095;0.0122;0.0075;;;;;;;;;;;;
149;0.0094;0.0122;0.0075;;;;;;;;;;;;
150;0.0094;0.0121;0.0074;;;;;;;;;;;;
151;0.0094;0.0121;0.0074;;;;;;;;;;;;
152;0.0094;0.012;0.0074;;;;;;;;;;;;
153;0.0093;0.012;0.0073;;;;;;;;;;;;
154;0.0093;0.012;0.0073;;;;;;;;;;;;
155;0.0093;0.0119;0.0073;;;;;;;;;;;;
156;0.0092;0.0119;0.0073;;;;;;;;;;;;
157;0.0092;0.0119;0.0072;;;;;;;;;;;;
158;0.0092;0.0118;0.0072;;;;;;;;;;;;
159;0.0092;0.0118;0.0072;;;;;;;;;;;;
160;0.0091;0.0117;0.0071;;;;;;;;;;;;
161;0.0091;0.0117;0.0071;;;;;;;;;;;;
162;0.0091;0.0117;0.0071;;;;;;;;;;;;
163;0.0091;0.0116;0.0071;;;;;;;;;;;;
164;0.009;0.0116;0.007;;;;;;;;;;;;
165;0.009;0.0116;0.007;;;;;;;;;;;;
166;0.009;0.0115;0.007;;;;;;;;;;;;
167;0.0089;0.0115;0.0069;;;;;;;;;;;;
168;0.0089;0.0115;0.0069;;;;;;;;;;;;
169;0.0089;0.0114;0.0069;;;;;;;;;;;;
170;0.0089;0.0114;0.0069;;;;;;;;;;;;
171;0.0088;0.0113;0.0068;;;;;;;;;;;;
172;0.0088;0.0113;0.0068;;;;;;;;;;;;
173;0.0088;0.0113;0.0068;;;;;;;;;;;;
174;0.0088;0.0112;0.0067;;;;;;;;;;;;
175;0.0087;0.0112;0.0067;;;;;;;;;;;;
176;0.0087;0.0112;0.0067;;;;;;;;;;;;
177;0.0087;0.0111;0.0067;;;;;;;;;;;;
178;0.0087;0.0111;0.0066;;;;;;;;;;;;
179;0.0086;0.0111;0.0066;;;;;;;;;;;;
180;0.0086;0.011;0.0066;;;;;;;;;;;;
181;0.0086;0.011;0.0066;;;;;;;;;;;;
182;0.0086;0.011;0.0065;;;;;;;;;;;;
183;0.0085;0.0109;0.0065;;;;;;;;;;;;
184;0.0085;0.0109;0.0065;;;;;;;;;;;;
185;0.0085;0.0109;0.0065;;;;;;;;;;;;
186;0.0085;0.0108;0.0064;;;;;;;;;;;;
187;0.0084;0.0108;0.0064;;;;;;;;;;;;
188;0.0084;0.0108;0.0064;;;;;;;;;;;;
189;0.0084;0.0107;0.0064;;;;;;;;;;;;
190;0.0084;0.0107;0.0063;;;;;;;;;;;;
191;0.0083;0.0107;0.0063;;;;;;;;;;;;
192;0.0083;0.0106;0.0063;;;;;;;;;;;;
193;0.0083;0.0106;0.0063;;;;;;;;;;;;
194;0.0083;0.0106;0.0062;;;;;;;;;;;;
195;0.0082;0.0105;0.0062;;;;;;;;;;;;
196;0.0082;0.0105;0.0062;;;;;;;;;;;;
197;0.0082;0.0105;0.0062;;;;;;;;;;;;
198;0.0082;0.0104;0.0061;;;;;;;;;;;;
199;0.0081;0.0104;0.0061;;;;;;;;;;;;
200;0.0081;0.0104;0.0061;;;;;;;;;;;;
201;0.0081;0.0103;0.0061;;;;;;;;;;;;
202;0.0081;0.0103;0.006;;;;;;;;;;;;
203;0.008;0.0103;0.006;;;;;;;;;;;;
204;0.008;0.0102;0.006;;;;;;;;;;;;
205;0.008;0.0103;0.006;;;;;;;;;;;;
206;0.0079;0.0103;0.006;;;;;;;;;;;;
207;0.0079;0.0104;0.006;;;;;;;;;;;;
208;0.0079;0.0104;0.006;;;;;;;;;;;;
209;0.0078;0.0105;0.006;;;;;;;;;;;;
210;0.0078;0.0105;0.006;;;;;;;;;;;;
211;0.0078;0.0106;0.0059;;;;;;;;;;;;
212;0.0077;0.0106;0.0059;;;;;;;;;;;;
213;0.0077;0.0107;0.0059;;;;;;;;;;;;
214;0.0077;0.0107;0.0059;;;;;;;;;;;;
215;0.0076;0.0108;0.0059;;;;;;;;;;;;
216;0.0076;0.0108;0.0059;;;;;;;;;;;;
217;0.0076;0.0109;0.0059;;;;;;;;;;;;
218;0.0075;0.0109;0.0059;;;;;;;;;;;;
219;0.0075;0.011;0.0059;;;;;;;;;;;;
220;0.0075;0.011;0.0059;;;;;;;;;;;;
221;0.0074;0.0111;0.0059;;;;;;;;;;;;
222;0.0074;0.0111;0.0059;;;;;;;;;;;;
223;0.0074;0.0112;0.0059;;;;;;;;;;;;
224;0.0073;0.0112;0.0059;;;;;;;;;;;;
225;0.0073;0.0113;0.0059;;;;;;;;;;;;
226;0.0073;0.0114;0.0059;;;;;;;;;;;;
227;0.0072;0.0114;0.0059;;;;;;;;;;;;
228;0.0072;0.0115;0.0059;;;;;;;;;;;;
229;0.0072;0.0115;0.0058;;;;;;;;;;;;
230;0.0071;0.0116;0.0058;;;;;;;;;;;;
231;0.0071;0.0116;0.0058;;;;;;;;;;;;
232;0.0071;0.0117;0.0058;;;;;;;;;;;;
233;0.007;0.0117;0.0058;;;;;;;;;;;;
234;0.007;0.0118;0.0058;;;;;;;;;;;;
235;0.007;0.0118;0.0058;;;;;;;;;;;;
236;0.007;0.0119;0.0058;;;;;;;;;;;;
237;0.0069;0.012;0.0058;;;;;;;;;;;;
238;0.0069;0.012;0.0058;;;;;;;;;;;;
239;0.0069;0.0121;0.0058;;;;;;;;;;;;
240;0.0068;0.0121;0.0058;;;;;;;;;;;;
241;0.0068;0.0122;0.0058;;;;;;;;;;;;
242;0.0068;0.0122;0.0058;;;;;;;;;;;;
243;0.0067;0.0123;0.0058;;;;;;;;;;;;
244;0.0067;0.0124;0.0058;;;;;;;;;;;;
245;0.0067;0.0124;0.0058;;;;;;;;;;;;
246;0.0066;0.0125;0.0058;;;;;;;;;;;;
247;0.0066;0.0125;0.0058;;;;;;;;;;;;
248;0.0066;0.0126;0.0057;;;;;;;;;;;;
249;0.0066;0.0126;0.0057;;;;;;;;;;;;
250;0.0065;0.0127;0.0057;;;;;;;;;;;;
251;0.0065;0.0128;0.0057;;;;;;;;;;;;
252;0.0065;0.0128;0.0057;;;;;;;;;;;;
253;0.0064;0.0129;0.0057;;;;;;;;;;;;
254;0.0064;0.0129;0.0057;;;;;;;;;;;;
255;0.0064;0.013;0.0057;;;;;;;;;;;;
256;0.0064;0.0131;0.0057;;;;;;;;;;;;
257;0.0063;0.0131;0.0057;;;;;;;;;;;;
258;0.0063;0.0132;0.0057;;;;;;;;;;;;
259;0.0063;0.0133;0.0057;;;;;;;;;;;;
260;0.0062;0.0133;0.0057;;;;;;;;;;;;
261;0.0062;0.0134;0.0057;;;;;;;;;;;;
262;0.0062;0.0134;0.0057;;;;;;;;;;;;
263;0.0062;0.0135;0.0057;;;;;;;;;;;;
264;0.0061;0.0136;0.0057;;;;;;;;;;;;
265;0.0061;0.0136;0.0056;;;;;;;;;;;;
266;0.0061;0.0136;0.0055;;;;;;;;;;;;
267;0.006;0.0136;0.0054;;;;;;;;;;;;
268;0.006;0.0136;0.0054;;;;;;;;;;;;
269;0.006;0.0136;0.0053;;;;;;;;;;;;
270;0.006;0.0137;0.0052;;;;;;;;;;;;
271;0.0059;0.0137;0.0051;;;;;;;;;;;;
272;0.0059;0.0137;0.0051;;;;;;;;;;;;
273;0.0059;0.0137;0.005;;;;;;;;;;;;
274;0.0058;0.0137;0.0049;;;;;;;;;;;;
275;0.0058;0.0137;0.0048;;;;;;;;;;;;
276;0.0058;0.0137;0.0048;;;;;;;;;;;;
